epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,63,62,0.984126984127,0.106178964642
2,24,0,0.0,0.0891151852021
3,22,21,0.954545454545,0.105962630014
4,61,75,1.22950819672,0.167572395261
5,60,83,1.38333333333,0.129757264983
6,19,0,0.0,0.225971252448
7,63,65,1.03174603175,0.256497075092
8,21,0,0.0,0.133504658868
9,63,61,0.968253968254,0.323810332566
10,58,59,1.01724137931,0.142107103223
11,20,208,10.4,0.197615865101
12,17,236,13.8823529412,0.194969348719
13,26,309,11.8846153846,0.251880295719
14,27,265,9.81481481481,0.322179948767
15,23,250,10.8695652174,0.302649222077
16,18,268,14.8888888889,0.303989137067
17,25,262,10.48,0.344178367858
18,23,283,12.3043478261,0.37484435753
19,30,198,6.6,0.329172700872
20,17,258,15.1764705882,0.316983036348
21,22,270,12.2727272727,0.356044046534
22,19,347,18.2631578947,0.31782584908
23,20,323,16.15,0.345324956989
24,20,268,13.4,0.327563490625
25,17,325,19.1176470588,0.336509016305
26,17,326,19.1764705882,0.337032315112
27,18,336,18.6666666667,0.32246547929
28,17,271,15.9411764706,0.363498892249
29,16,329,20.5625,0.350703548519
30,13,208,16.0,0.367241853816
31,14,386,27.5714285714,0.33963397345
32,17,268,15.7647058824,0.435614836756
33,14,310,22.1428571429,0.374209061237
34,14,456,32.5714285714,0.367050841795
35,12,386,32.1666666667,0.382566434485
36,12,391,32.5833333333,0.392892233925
37,14,339,24.2142857143,0.389220306785
38,15,360,24.0,0.370011907299
39,11,407,37.0,0.345451038717
40,10,318,31.8,0.416415237142
41,10,1111,111.1,0.359627956538
42,10,419,41.9,0.382407121425
43,12,865,72.0833333333,0.394887638343
44,11,526,47.8181818182,0.400238101571
45,10,596,59.6,0.410349094546
46,11,907,82.4545454545,0.401609188383
47,10,632,63.2,0.419413441159
48,8,580,72.5,0.421678192224
49,8,467,58.375,0.418809561385
50,9,817,90.7777777778,0.399751871862
51,9,577,64.1111111111,0.422667985843
52,9,424,47.1111111111,0.420497898902
53,8,456,57.0,0.445454497077
54,8,854,106.75,0.433540427303
55,8,572,71.5,0.394346764232
56,22,37,1.68181818182,0.424325085394
57,8,1039,129.875,0.432290201075
58,9,571,63.4444444444,0.403729097038
59,7,705,100.714285714,0.438227650034
60,9,732,81.3333333333,0.385584644997
61,7,666,95.1428571429,0.381210172838
62,6,556,92.6666666667,0.379865068733
63,8,872,109.0,0.374340040488
64,8,1050,131.25,0.448152705533
65,10,499,49.9,0.377790756831
66,10,547,54.7,0.435965743372
67,7,758,108.285714286,0.384754106845
68,9,732,81.3333333333,0.415282306559
69,8,795,99.375,0.419312050156
70,18,326,18.1111111111,0.411605340848
71,8,704,88.0,0.382586329333
72,6,1028,171.333333333,0.384073521974
73,7,785,112.142857143,0.428131937361
74,7,779,111.285714286,0.357222806215
75,7,847,121.0,0.403007658082
76,8,1629,203.625,0.385529165105
77,8,937,117.125,0.418426243784
78,8,958,119.75,0.364968605563
79,7,529,75.5714285714,0.373505569748
80,10,426,42.6,0.395515560582
81,8,1435,179.375,0.378786711483
82,9,417,46.3333333333,0.377250938402
83,7,1083,154.714285714,0.421154851932
84,7,1277,182.428571429,0.421563747865
85,9,823,91.4444444444,0.392358130584
86,16,655,40.9375,0.381785103381
87,10,872,87.2,0.427666505384
88,8,1120,140.0,0.376222434025
89,8,501,62.625,0.351290763267
90,8,755,94.375,0.367743536397
91,8,747,93.375,0.403119739844
92,13,323,24.8461538462,0.385377409291
93,9,1112,123.555555556,0.387751849433
94,9,436,48.4444444444,0.384468875239
95,7,669,95.5714285714,0.40631232298
96,9,1201,133.444444444,0.414200234422
97,7,1123,160.428571429,0.377784926989
98,7,1452,207.428571429,0.3432163087
99,6,870,145.0,0.382980802921
100,8,1039,129.875,0.375385020953
