epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,te_a_0,te_a_1,te_a_2,te_a_3
121,62147,64637,51239,70868,48563,32913,22409,21027
122,62599,61962,51912,72440,6995,35231,29857,52837
123,62601,61887,55271,69035,40688,15713,32731,35772
124,63758,60474,53013,71628,34952,13742,52169,23987
125,64822,60449,50290,73384,9050,61157,19070,35647
126,62795,64718,49844,71624,33801,16763,52481,21812
127,62015,62600,54213,69983,21265,15322,47388,40942
128,62283,63657,54935,67992,50823,34005,19576,20515
129,64248,62397,57217,64908,25371,41469,22494,35571
130,61690,62765,53482,70793,51606,33642,16248,23420
131,60106,66629,52954,69139,71633,9464,19542,24279
132,61177,64934,53228,69462,12393,24034,38453,50025
133,64711,62610,52551,68967,75786,13405,16069,19646
134,64454,65082,48982,70413,50621,20813,24917,28573
135,63146,63471,48854,73541,62842,20134,23979,17966
136,58121,65804,52878,72158,28937,8575,34183,53231
137,59322,62997,52579,74057,19528,41071,21490,42839
138,57533,63467,57823,69990,26974,32189,20098,45642
139,59581,63409,52195,73646,22855,50554,29291,22214
140,63311,64130,49170,72224,11372,22798,53927,36776
141,63182,62591,53397,69715,53960,10392,18087,42491
142,62657,64597,51996,69610,9901,51257,24905,38859
143,64410,62728,51376,70336,39360,36626,14978,33954
144,63754,64439,49402,71343,59571,13875,30669,20798
145,63174,62382,50176,73186,59355,22427,21545,21601
146,61312,61506,53231,72639,32179,22792,22778,47161
147,62151,64986,49917,71879,23676,18760,21459,61031
148,63699,63181,51970,70003,44184,15318,32168,33249
149,62906,64545,53777,67540,35014,20703,51151,18017
150,61942,62499,52045,72277,72128,5680,29909,17178
151,63609,60565,50950,73733,56363,4358,29787,34408
152,60941,64830,51695,71425,19943,30292,31795,42870
153,61947,61775,52680,72524,41525,51835,14372,17190
154,63200,62734,53086,69881,46045,18352,24301,36233
155,65287,62654,52080,68896,48852,23459,30666,21901
156,63858,62555,50665,71734,27521,21249,26551,49609
157,64506,63593,48533,72227,40572,29893,27039,27406
158,64198,61948,51823,70764,12643,9359,28360,74564
159,61280,64821,53406,69269,57436,15989,27148,24308
160,61826,65727,50315,71023,57729,9107,22755,35333
161,64316,65454,51059,68055,56931,35761,18014,14195
162,61461,61653,51618,74164,10863,17861,33020,63182
163,64873,62784,49382,71814,22301,39665,29346,33600
164,60387,65871,51931,70713,39212,29138,28245,28328
165,64495,65393,51279,67699,60598,10981,18248,35073
166,62943,62057,50427,73459,32954,24051,14851,53043
167,64022,64172,51325,69302,17888,53365,21351,32311
168,64356,61919,51019,71527,16941,3421,27970,76594
169,63577,63358,50679,71270,70293,17436,15898,21287
170,65179,59823,47267,76684,19539,27986,40138,37255
171,63226,64072,47127,74581,21635,49352,16277,37666
172,62810,65857,47652,72640,62776,6990,29525,25630
173,64957,65176,49657,69048,67268,18465,18153,21043
174,59665,64630,50470,74192,58490,21823,17267,27335
175,62765,63784,50661,71727,41542,27065,24424,31888
176,63319,63059,51720,70816,13984,82141,10833,17956
177,61107,62867,50662,74310,41839,11286,23286,48519
178,61398,62405,51269,73812,20899,25923,40316,37770
179,64006,63274,48290,73295,16627,18544,40336,49409
180,63717,64105,50905,70164,12048,19991,33382,59501
181,63187,62340,49898,73439,55652,27764,12348,29155
182,63393,65379,46781,73409,7283,36345,43753,37528
183,61664,61891,51955,73350,36215,11347,23171,54187
184,61351,63618,51270,72658,20648,28214,28446,47619
185,58657,64697,51998,73530,10111,50278,19840,44692
186,63438,59739,53024,72720,29722,16455,18181,60542
187,62704,59143,53525,73494,24925,13234,39399,47363
188,63804,62777,51779,70442,67234,6471,27148,24065
189,63195,61392,50738,73552,21390,7783,39436,56305
190,61194,60332,55651,71607,22387,44907,26877,30759
191,65728,61862,50922,70451,23147,38118,25326,38311
192,64808,60709,49187,74131,54565,22801,18420,29125
193,62611,64967,49170,72120,42765,4524,26349,51283
194,63291,59629,51225,74683,32581,57821,16850,17666
195,65814,61212,48711,73167,31405,26503,30747,36265
196,62002,66159,47866,72895,39326,43755,16507,25325
197,63939,63199,50526,71221,27722,64739,12722,19736
198,62586,63136,51057,72178,55819,19833,24458,24801
199,64317,63377,50049,71149,69013,8250,26730,20919
200,64847,64731,48961,70337,42767,13557,24396,44204
