epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,18,0,0.0,0.188991124821
2,20,0,0.0,0.179804636412
3,57,99,1.73684210526,0.173234527772
4,22,0,0.0,0.227412895435
5,20,0,0.0,0.210985520128
6,16,66,4.125,0.436776522836
7,25,63,2.52,0.126190882872
8,14,163,11.6428571429,0.169103126391
9,12,145,12.0833333333,0.228722322264
10,30,252,8.4,0.250428943289
11,29,270,9.31034482759,0.309981622901
12,27,228,8.44444444444,0.326408701316
13,23,226,9.82608695652,0.288456268637
14,23,284,12.347826087,0.319422766247
15,21,258,12.2857142857,0.3589054832
16,18,272,15.1111111111,0.374549223119
17,19,288,15.1578947368,0.358314061072
18,21,300,14.2857142857,0.374943743702
19,19,299,15.7368421053,0.372648224551
20,17,310,18.2352941176,0.349513418633
21,17,301,17.7058823529,0.431179707083
22,17,295,17.3529411765,0.386764202681
23,16,336,21.0,0.404085245002
24,17,298,17.5294117647,0.369079972166
25,16,303,18.9375,0.359071499379
26,16,338,21.125,0.396334321834
27,16,346,21.625,0.368854599828
28,14,322,23.0,0.379722564733
29,17,324,19.0588235294,0.403712825174
30,15,467,31.1333333333,0.363476710862
31,15,394,26.2666666667,0.422301456807
32,14,271,19.3571428571,0.429275735277
33,14,288,20.5714285714,0.414577622572
34,12,371,30.9166666667,0.444880284769
35,11,426,38.7272727273,0.452836230532
36,11,386,35.0909090909,0.420271624168
37,9,389,43.2222222222,0.437969608945
38,12,477,39.75,0.424537095861
39,11,633,57.5454545455,0.442037711679
40,14,405,28.9285714286,0.404580673249
41,10,715,71.5,0.473341287505
42,10,692,69.2,0.434463623851
43,9,401,44.5555555556,0.42394301258
44,11,413,37.5454545455,0.459606652819
45,9,628,69.7777777778,0.458062943541
46,9,564,62.6666666667,0.448129165941
47,9,687,76.3333333333,0.483697636686
48,8,583,72.875,0.462619790607
49,10,765,76.5,0.439699538238
50,8,694,86.75,0.44466043646
51,7,641,91.5714285714,0.513314567478
52,8,759,94.875,0.46028657069
53,8,767,95.875,0.451662019379
54,7,976,139.428571429,0.45333474244
55,7,435,62.1428571429,0.46536287901
56,6,766,127.666666667,0.467547382424
57,8,567,70.875,0.483208772298
58,11,856,77.8181818182,0.463823161446
59,10,354,35.4,0.472117227078
60,8,526,65.75,0.454283691808
61,8,488,61.0,0.479753296128
62,7,492,70.2857142857,0.486294794511
63,15,289,19.2666666667,0.497242474398
64,8,1012,126.5,0.479198244289
65,6,734,122.333333333,0.502718320116
66,7,448,64.0,0.481361009185
67,7,907,129.571428571,0.464727879521
68,7,752,107.428571429,0.45246293616
69,8,895,111.875,0.438654074967
70,7,1093,156.142857143,0.444096832029
71,8,671,83.875,0.47888448365
72,6,656,109.333333333,0.502689761696
73,8,827,103.375,0.481798264892
74,8,869,108.625,0.44450953952
75,8,693,86.625,0.420558783859
76,9,475,52.7777777778,0.444616843937
77,7,1199,171.285714286,0.463965689298
78,8,529,66.125,0.470901595918
79,12,283,23.5833333333,0.479500752483
80,9,402,44.6666666667,0.448610922028
81,9,942,104.666666667,0.428677646508
82,8,1036,129.5,0.454619114893
83,7,1252,178.857142857,0.464965605345
84,8,796,99.5,0.427355346233
85,6,789,131.5,0.455204488682
86,9,760,84.4444444444,0.438723662263
87,6,1385,230.833333333,0.425186041351
88,10,710,71.0,0.458758244915
89,7,505,72.1428571429,0.436260070885
90,8,585,73.125,0.447221162487
91,7,1006,143.714285714,0.44837765363
92,6,571,95.1666666667,0.44959160503
93,6,912,152.0,0.452851517713
94,8,879,109.875,0.413639460588
95,7,1047,149.571428571,0.452895605722
96,10,879,87.9,0.455628234744
97,8,1043,130.375,0.442359206639
98,8,599,74.875,0.415192386471
99,7,541,77.2857142857,0.440018087244
100,6,1047,174.5,0.430198879084
