epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,763,896,1.17431192661,0.689631346706
2,665,1164,1.75037593985,0.927648363942
3,657,1750,2.66362252664,1.00814503682
4,496,1777,3.58266129032,1.01972475003
5,241,2577,10.6929460581,1.04173178919
6,178,2865,16.095505618,1.27334366745
7,174,3589,20.6264367816,1.52550218945
8,136,4250,31.25,1.86032700083
9,108,5240,48.5185185185,2.42123084994
10,103,5572,54.0970873786,2.82778434742
11,88,6860,77.9545454545,3.02502016533
12,89,7828,87.9550561798,3.18018879903
13,88,10512,119.454545455,3.37417454865
14,89,12684,142.516853933,3.53935059756
15,82,12459,151.93902439,3.4508200362
16,77,13328,173.090909091,3.63516901489
17,89,11230,126.179775281,3.42055732772
18,79,14604,184.860759494,3.22294447914
19,132,4048,30.6666666667,3.74491337238
20,89,12886,144.786516854,3.7256108593
21,77,15803,205.233766234,3.94323935909
22,70,18737,267.671428571,3.81148550615
23,71,17853,251.450704225,4.12337102154
24,69,19031,275.811594203,3.98149317795
25,73,15850,217.123287671,3.99068789791
26,68,17189,252.779411765,4.17107229222
27,135,7697,57.0148148148,4.0639471421
28,72,17566,243.972222222,4.28128826566
29,66,17093,258.984848485,4.12489638697
30,85,15138,178.094117647,4.16753825236
31,75,19342,257.893333333,4.11420609135
32,85,16215,190.764705882,4.01668093503
33,75,16635,221.8,3.85863556631
34,92,18504,201.130434783,4.11986379907
35,72,16548,229.833333333,4.19039350819
36,78,17682,226.692307692,4.12733480029
37,66,16716,253.272727273,4.11621855631
38,69,18539,268.68115942,4.06063348398
39,69,21393,310.043478261,3.94855996896
40,81,16241,200.50617284,3.99547154579
41,64,20544,321.0,3.95772988226
42,81,16421,202.728395062,3.8134124893
43,92,17440,189.565217391,3.89800405882
44,73,20016,274.191780822,4.00589735977
45,88,17442,198.204545455,3.84140752498
46,72,19896,276.333333333,3.76462725211
47,85,18755,220.647058824,3.81302657109
48,71,17825,251.056338028,3.50820961498
49,93,19935,214.35483871,3.59601503368
50,77,19836,257.61038961,3.75052513849
51,73,20259,277.520547945,3.88286556989
52,91,13854,152.241758242,4.03522509109
53,88,15292,173.772727273,4.06244872317
54,74,20836,281.567567568,4.09187283758
55,161,8832,54.8571428571,3.95875881255
56,75,22674,302.32,3.83178800784
57,77,19366,251.506493506,3.84454100478
58,75,21248,283.306666667,3.75945408355
59,90,19461,216.233333333,3.77995541811
60,81,19496,240.691358025,3.58135984585
61,87,18902,217.264367816,3.82130332116
62,89,19497,219.06741573,3.52583209243
63,90,18532,205.911111111,3.74652127262
64,76,16278,214.184210526,3.44345725834
65,79,22017,278.696202532,3.39308729418
66,74,21305,287.905405405,3.54495681599
67,124,7815,63.0241935484,4.03290754624
68,84,21321,253.821428571,3.80096035346
69,80,19691,246.1375,3.98835319512
70,77,21372,277.558441558,4.05452798977
71,80,18563,232.0375,4.1051956347
72,84,16445,195.773809524,4.13115697227
73,84,21154,251.833333333,3.93754566215
74,83,18259,219.987951807,4.01386186298
75,112,12588,112.392857143,4.0399434609
76,77,19497,253.207792208,4.08958632939
77,80,20984,262.3,3.839732804
78,97,15565,160.463917526,3.75573699459
79,78,19480,249.743589744,3.96435279768
80,91,21727,238.758241758,4.1758128586
81,112,20385,182.008928571,3.99279043533
82,79,19859,251.379746835,3.83154620282
83,84,17868,212.714285714,3.76130618863
84,74,22115,298.851351351,3.80330648616
85,138,9073,65.7463768116,3.68541300334
86,80,21802,272.525,3.98124627918
87,101,18715,185.297029703,4.22106293522
88,75,22618,301.573333333,4.29969109364
89,81,19391,239.395061728,4.00555749819
90,94,16546,176.021276596,4.20944020025
91,69,20535,297.608695652,4.19066655107
92,76,19473,256.223684211,4.19069364451
93,79,19944,252.455696203,3.96372097053
94,78,22951,294.243589744,3.94834066272
95,109,15879,145.678899083,4.195920716
96,68,21096,310.235294118,4.10856220044
97,79,18142,229.64556962,4.11453857884
98,84,20701,246.44047619,4.06549504012
99,80,22818,285.225,4.14216375038
100,82,17161,209.280487805,4.05785919748
101,115,17716,154.052173913,3.85916039608
102,92,18928,205.739130435,3.77905596755
103,77,18002,233.792207792,3.72059298411
104,70,21834,311.914285714,3.90158043846
105,79,20328,257.316455696,3.86973782808
106,70,22933,327.614285714,3.91572989292
107,95,17397,183.126315789,4.18352798834
108,75,20361,271.48,4.09272288211
109,78,23038,295.358974359,4.18075236969
110,89,19741,221.808988764,4.1317662809
111,93,18162,195.290322581,4.08181101143
112,70,22049,314.985714286,4.02807348169
113,87,19883,228.540229885,4.27700018197
114,90,21856,242.844444444,4.58780352689
115,90,22092,245.466666667,4.50724569529
116,123,18399,149.585365854,4.30652112015
117,75,24865,331.533333333,4.33562669657
