epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,tr_a_4,tr_a_5,te_a_0,te_a_1,te_a_2,te_a_3,te_a_4,te_a_5
83,33229,47070,41863,37503,48327,41496,15562,3812,10387,41531,44068,9544
84,32282,46841,41511,37614,48513,42697,5676,23094,33404,36914,19501,6312
85,34422,46389,41335,36708,46949,43703,8440,11668,45093,15221,4542,39936
86,33683,46531,41221,36902,46805,44361,78449,1504,18412,1970,5351,19204
87,34088,45733,40971,38279,48172,42257,6217,44225,28434,20905,10372,14741
88,32601,45445,42042,37787,47225,44371,12734,37748,5018,26210,38311,4887
89,33832,46830,42807,36560,46921,42507,1984,24780,51189,25495,3108,18346
90,35296,43976,43717,36572,47385,42525,7060,54904,18196,2041,20926,21778
91,32741,45939,42933,37869,47533,42496,26670,6858,13001,16145,27289,34942
92,34413,47622,42516,37486,46200,41232,28933,16605,19856,6347,33671,19489
93,32799,47048,43872,37041,46517,42195,40624,7958,9060,22493,32007,12747
94,36287,46040,42943,36131,46363,41735,3405,55428,34957,13212,7223,10683
95,34250,47942,40697,36171,46567,43895,1527,9647,31739,23811,21781,36396
96,34114,46831,41295,37319,46494,43423,7319,68150,10561,14182,12758,11923
97,34573,47521,40727,37231,46930,42475,3275,56892,6730,10695,18523,28786
98,35640,46584,42306,36141,47107,41688,48493,8420,14327,10954,25759,16938
99,35455,47986,40022,35977,46660,43400,4873,45542,31929,18039,5719,18805
100,32747,47249,40574,37591,46987,44353,6030,24736,23651,19899,21969,28617
101,33875,46128,41298,38988,46074,43140,2696,71139,11676,14060,15778,9545
102,35199,45787,41743,37681,48195,40867,21796,9473,17129,18836,26174,31510
103,34291,45944,41149,37307,47305,43495,42133,4144,34388,20804,8279,15151
104,34471,46950,40893,37217,47291,42672,12770,3286,11532,38932,40787,17591
105,35902,45591,41386,36210,47231,43195,10695,44200,19443,15797,21439,13317
106,36156,46364,40758,36416,48414,41396,9881,27451,28550,9357,28757,20910
107,34532,46580,40763,37494,47585,42508,4688,10387,53914,10122,3622,42169
108,34826,46831,41635,36462,48063,41666,5238,9649,15484,22185,49694,22663
109,35139,47894,39969,34720,49181,42579,55098,9020,17123,8781,25965,8894
110,34474,44772,41494,38956,47426,42389,4538,25232,24236,12357,21284,37265
111,37672,45594,41889,37002,47212,40166,16949,50837,12170,9943,19660,15350
112,36032,48069,42700,36155,47584,39007,12023,20925,6520,28435,50998,6000
113,35034,46694,40323,38304,48591,40536,8434,8973,15716,34320,27825,29633
114,34145,47436,39902,37035,47687,43277,6897,37882,16183,30911,20204,12828
115,34568,48256,41435,37893,45639,41677,13602,1629,15272,28149,51417,14845
116,36148,44235,42515,36784,46711,43090,74293,3038,21158,15181,5166,6049
117,34869,46005,41781,36024,48125,42661,2376,8354,10185,22957,53999,27042
118,35028,45025,41264,36922,48100,43142,10758,58794,23624,15602,10357,5758
119,32047,46629,41569,37539,48940,42776,83500,6262,5405,1374,14026,14313
120,33253,45701,43053,35179,48443,43881,3144,26277,21129,40705,23855,9804
121,33793,47350,41482,34767,48748,43348,2604,6131,22785,8386,51282,33724
122,35493,47293,42152,35520,48875,40147,1336,16144,22172,10966,26091,48190
123,35740,47459,42230,35669,46864,41538,32373,21128,9768,11948,28571,21115
124,35143,46588,41813,37578,46705,41672,2907,2209,15483,18992,65224,20102
125,35167,47142,43920,35452,45700,42138,2427,79614,19366,10951,3419,9128
126,35592,46188,42755,36703,46018,42255,26091,8210,23964,27273,27350,12016
127,34651,44205,42492,37657,46481,44008,14111,15695,13900,15346,35820,30036
128,35803,46338,41663,37080,46525,42091,31682,6726,17536,28303,29507,11149
129,36430,45728,41421,36952,47278,41680,65686,3129,3616,13925,21026,17505
130,34775,47913,40343,36032,48143,42297,14192,23298,22367,29351,21690,14008
131,34939,48562,39176,36128,48006,42675,10472,27829,11707,7478,37673,29751
132,36366,45665,42094,36403,46406,42549,57642,3165,29525,5125,5355,24089
133,35918,45796,41258,35670,46828,44022,23875,8510,9484,2046,36767,44215
134,35026,47675,43970,36162,45361,41332,8135,18083,23434,11219,25151,38879
135,34857,46127,42241,38064,45405,42801,20920,10748,36173,17638,12094,27340
136,34704,47064,43044,36943,44600,43160,16325,58851,15650,11884,11795,10411
137,34265,46914,40976,37962,46212,43165,5242,5308,51286,17514,10649,34916
138,33406,47092,43102,35833,46798,43292,8909,31973,14614,34599,32573,2241
139,34467,44922,44399,37182,47129,41409,24335,52742,10386,5769,14348,17331
140,33312,45269,43018,36587,48233,43058,20767,25845,24749,22929,17775,12843
141,33553,46657,43166,35996,48003,42099,1735,51773,18664,31939,13988,6800
142,37060,46631,42189,34937,45742,42932,65588,5782,8884,3361,20142,21144
143,32504,47156,40824,37274,47281,44423,8906,12794,9760,11065,47758,34626
144,34922,47641,40127,36676,45916,44226,25229,14594,30480,24163,17633,12810
145,35254,45966,42769,36874,46335,42285,4654,73109,5803,4651,21474,15203
146,33816,46521,42615,38715,45853,41952,2278,4548,37805,4994,19710,55572
147,34112,48028,41223,36047,47204,42840,55328,7183,17833,8137,14764,21663
148,34712,45339,42044,36407,47930,43060,3751,27264,15654,21326,28359,28550
149,34087,48451,41668,36413,47360,41508,19937,3624,4840,27274,56912,12319
150,33986,46263,40341,37956,46942,44001,45939,3347,6326,2807,32165,34318
151,34770,45576,41759,39131,46007,42230,17559,22564,3319,34771,39135,7548
152,35865,45178,40947,37946,46373,43179,4552,22391,12658,17935,34619,32749
153,36007,44736,41818,36072,48792,42036,6579,5304,13982,31295,42756,24989
154,35812,48513,42795,34628,48267,39484,8413,39589,7656,9314,38419,21521
155,33150,47099,40658,36493,49038,43070,9270,1333,18060,3578,33137,59538
156,33893,47555,41897,36289,46951,42914,3664,31604,7882,18238,26828,36691
157,33205,49172,41270,35979,45990,43861,13217,13830,24885,12609,34102,26262
158,32843,46725,40537,35926,48195,45226,13237,14249,45301,12747,3671,35703
159,34415,45140,41635,34670,47515,46114,11882,24252,5054,23504,30339,29865
160,33755,46982,40752,35940,46919,45137,30273,16982,14133,15178,34231,14112
161,35732,45859,41820,35302,46544,44223,22856,33791,11401,20687,27022,9147
162,34136,48600,43019,33723,47102,42913,39554,5832,31080,3269,6544,38623
163,35880,47784,40762,37056,45187,42825,1668,17764,41660,35489,11266,17070
164,34143,48285,42919,36764,45586,41828,3192,16012,27901,47576,20913,9320
165,33924,48734,40523,36316,46823,43164,12612,8028,25894,17312,43566,17499
166,33920,46460,41131,35920,47718,44337,4459,81927,10026,6273,10275,11955
167,36190,47518,42094,35715,46941,41050,36884,38485,15268,25302,7448,1501
168,34132,48272,40194,35943,46993,43962,7659,53089,30541,27234,3792,2586
169,33257,47102,42627,37255,45448,43795,3958,14517,25073,25979,34430,20944
170,35703,46651,40864,36897,45624,43718,1734,71980,20173,12367,14517,4119
171,34795,47072,41933,36317,46194,43150,33463,33406,25223,18321,9002,5483
172,33803,46932,40775,37469,47014,43469,4623,38380,41446,9528,7268,23657
173,34559,46255,40015,39464,44937,44240,35391,20505,2914,6772,37940,21392
174,35084,46515,41246,38533,46263,41851,2833,24377,46534,13956,14793,22414
175,36005,45213,40750,37832,46729,42998,11971,52584,6663,3185,26753,23756
176,36133,45819,41541,35567,49162,41297,30902,4185,46076,7744,8102,27904
177,35900,46571,40782,36670,48165,41415,25917,27800,32373,22803,11297,4717
178,34407,46078,40581,37658,48683,42092,8868,17186,59446,14258,9068,16086
179,35547,47013,41059,36137,45809,43894,20337,37053,30162,5656,4273,27401
180,35475,46965,41165,34978,46118,44822,5755,25007,29134,29954,13383,21677
181,35852,47840,41329,34814,45167,44474,3927,4452,10093,15868,47140,43433
182,33925,45130,43353,35277,47448,44383,55930,13793,11824,6598,20247,16512
183,35018,45669,41958,36510,46739,43624,8963,26181,25921,11496,20949,31388
184,35933,46220,41764,36395,46478,42718,22279,10879,42306,11354,2514,35576
185,35033,45999,42533,37287,47206,41458,7589,74434,9830,9380,14546,9121
186,36470,43974,42285,38259,46259,42243,40173,5784,30184,31280,11298,6180
187,34883,46738,41950,37658,45256,43001,7108,55016,19863,6118,12022,24782
188,35430,47233,42168,36255,46796,41588,12329,29638,4163,15366,25153,38257
189,35593,47950,41011,36524,47384,41011,49381,4210,7886,10617,35202,17615
190,34557,47481,40837,36053,46718,43827,10135,4048,42877,10473,17067,40284
191,35489,46534,40228,37883,45810,43557,4643,3938,17427,8255,21172,69484
192,35797,45463,41677,36003,45559,44990,11771,4501,39787,20249,13391,35198
193,34585,46294,42307,36867,46516,42938,2397,40201,22090,13807,7610,38805
194,34646,47320,41122,35540,45785,45061,19825,16315,23030,26909,28093,10734
195,33265,46107,41895,35968,49550,42744,33677,28193,9704,22970,23698,6670
196,33869,44311,42323,36673,49206,43104,6418,7815,37815,18346,18881,35632
197,37084,44566,41389,35471,47460,43540,18448,13462,30854,27070,22753,12323
198,34903,46113,42848,35639,46148,43850,1583,7610,20378,5449,35270,54621
199,34016,47809,40911,37329,46028,43411,31691,47971,16782,7786,9030,11649
200,35385,46684,41623,36753,46225,42803,4563,33451,20009,21248,24336,21291
