epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,21,0,0.0,0.0964495414449
2,24,0,0.0,0.191899350476
3,22,0,0.0,0.141254038909
4,18,27,1.5,0.129764955216
5,17,0,0.0,0.134761085482
6,17,0,0.0,0.165087182801
7,64,70,1.09375,0.227023577215
8,62,75,1.20967741935,0.208903678425
9,38,201,5.28947368421,0.14575143757
10,24,222,9.25,0.23129792525
11,18,249,13.8333333333,0.279924679776
12,27,278,10.2962962963,0.340707306499
13,21,368,17.5238095238,0.311415250627
14,20,315,15.75,0.331005394491
15,18,352,19.5555555556,0.348053644081
16,20,312,15.6,0.347642612965
17,21,341,16.2380952381,0.296914582928
18,23,261,11.347826087,0.329612202076
19,22,304,13.8181818182,0.336053825896
20,18,395,21.9444444444,0.302463307106
21,19,263,13.8421052632,0.335282799741
22,21,340,16.1904761905,0.331072695307
23,19,216,11.3684210526,0.339168870533
24,17,272,16.0,0.32293884072
25,16,316,19.75,0.35965741612
26,19,297,15.6315789474,0.332683905158
27,17,320,18.8235294118,0.35287353598
28,22,244,11.0909090909,0.380134792295
29,19,406,21.3684210526,0.366618770859
30,18,312,17.3333333333,0.378234509118
31,14,582,41.5714285714,0.339099080916
32,16,350,21.875,0.379509574361
33,17,375,22.0588235294,0.332680874565
34,16,311,19.4375,0.378711837614
35,14,464,33.1428571429,0.38576725197
36,13,449,34.5384615385,0.412384161968
37,16,279,17.4375,0.389770454261
38,15,315,21.0,0.360113016362
39,12,1025,85.4166666667,0.392853730447
40,10,738,73.8,0.378273091996
41,11,395,35.9090909091,0.387350777276
42,10,367,36.7,0.383481736276
43,12,421,35.0833333333,0.415020323824
44,10,153,15.3,0.440619386118
45,13,661,50.8461538462,0.382258851766
46,11,432,39.2727272727,0.397768214098
47,12,288,24.0,0.405857256716
48,12,435,36.25,0.366776695242
49,10,421,42.1,0.396437372328
50,7,923,131.857142857,0.392902717642
51,11,798,72.5454545455,0.415173456939
52,8,743,92.875,0.40891723807
53,11,555,50.4545454545,0.422821733179
54,11,615,55.9090909091,0.418847372467
55,9,1025,113.888888889,0.433855016371
56,11,457,41.5454545455,0.408568669101
57,8,640,80.0,0.401569738612
58,11,655,59.5454545455,0.428323216792
59,8,681,85.125,0.438052712809
60,10,360,36.0,0.423693495831
61,9,458,50.8888888889,0.426562851742
62,9,420,46.6666666667,0.382440971378
63,8,917,114.625,0.433823230378
64,10,770,77.0,0.474254707079
65,8,782,97.75,0.410659635975
66,8,1138,142.25,0.392590820678
67,9,724,80.4444444444,0.440972804548
68,9,500,55.5555555556,0.460507802796
69,8,431,53.875,0.447220159052
70,10,464,46.4,0.409941804241
71,7,447,63.8571428571,0.393915795265
72,7,757,108.142857143,0.436135892142
73,7,582,83.1428571429,0.405006099087
74,7,458,65.4285714286,0.374781696359
75,7,1072,153.142857143,0.402778292629
76,7,566,80.8571428571,0.442398915235
77,9,995,110.555555556,0.422246433357
78,7,1053,150.428571429,0.399836961264
79,7,1096,156.571428571,0.429286508216
80,7,481,68.7142857143,0.428152283477
81,7,902,128.857142857,0.393856572602
82,12,442,36.8333333333,0.423888326744
83,10,465,46.5,0.467006259616
84,9,491,54.5555555556,0.447651420766
85,8,860,107.5,0.467400945816
86,7,1020,145.714285714,0.371675649448
87,7,1109,158.428571429,0.395681648017
88,10,600,60.0,0.410534002073
89,13,303,23.3076923077,0.411112995674
90,7,1347,192.428571429,0.44346039189
91,6,813,135.5,0.424917894378
92,8,972,121.5,0.380833082511
93,7,913,130.428571429,0.39129730952
94,7,730,104.285714286,0.442132859463
95,8,1193,149.125,0.37934639723
96,9,1264,140.444444444,0.431561981905
97,7,1303,186.142857143,0.417248735828
98,8,848,106.0,0.357491053012
99,8,1451,181.375,0.409345924528
100,8,1175,146.875,0.399356546933
