epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,189,46670,246.931216931,1.297395602
2,199,42325,212.688442211,2.32320135545
3,205,37300,181.951219512,2.9884996685
4,260,46000,176.923076923,3.50558678161
5,192,63920,332.916666667,4.78235894624
6,142,48315,340.246478873,5.33152622893
7,173,70550,407.803468208,6.347124593
8,110,70950,645.0,6.84955050044
9,180,71920,399.555555556,7.29978785982
10,141,71755,508.90070922,7.72263814189
11,137,73960,539.854014599,7.90293956257
12,115,66590,579.043478261,8.04957435812
13,133,77970,586.240601504,8.15751934525
14,140,83720,598.0,8.30768122062
15,111,70145,631.936936937,8.94968084391
16,118,76465,648.008474576,8.83958570685
17,124,83190,670.887096774,9.24375139061
18,135,81775,605.740740741,9.47418698505
19,134,85460,637.76119403,9.83195600897
20,141,86200,611.34751773,9.90658664554
21,132,87005,659.128787879,9.70080274373
22,131,86510,660.381679389,10.0837235202
23,131,86375,659.351145038,10.0683647783
24,130,91525,704.038461538,10.1936456449
25,123,89625,728.658536585,9.90200847611
26,120,76255,635.458333333,9.95193663657
27,103,85410,829.223300971,10.0474873592
28,137,90100,657.664233577,10.1411244376
29,122,89535,733.893442623,9.96314489551
30,131,93640,714.809160305,10.0147752444
31,119,77025,647.268907563,9.90734099045
32,109,75300,690.825688073,9.86277431823
33,109,80435,737.935779817,9.77129260577
34,131,96840,739.236641221,9.34329055388
35,117,91455,781.666666667,9.34405758444
36,107,87820,820.747663551,9.06680981338
37,112,90245,805.758928571,8.92507739324
38,124,93930,757.5,8.92647672012
39,133,96675,726.879699248,8.94410260063
40,121,94225,778.719008264,8.76043819122
41,111,97565,878.963963964,8.73847748399
42,109,95105,872.52293578,8.71083591949
43,112,98480,879.285714286,8.74137127161
44,108,93040,861.481481481,8.68079177052
45,97,86945,896.340206186,8.53477551322
46,112,96000,857.142857143,8.34243322648
47,121,98445,813.595041322,8.49486363657
48,102,73455,720.147058824,8.31680825278
49,134,94865,707.947761194,8.35349848036
50,110,97065,882.409090909,8.63020793039
51,104,95765,920.817307692,8.85395886358
52,96,80420,837.708333333,9.1797305581
53,111,100350,904.054054054,8.80749708511
54,109,90370,829.082568807,8.91726402089
55,83,94995,1144.51807229,8.98980422352
56,95,92945,978.368421053,8.97000802666
57,125,100225,801.8,9.11688908547
58,134,83810,625.447761194,8.98930016525
59,93,79525,855.107526882,9.10327352952
60,118,99450,842.796610169,9.10516116083
61,117,93695,800.811965812,9.25433554716
62,97,101415,1045.51546392,9.28009707399
63,92,94710,1029.45652174,8.82980567023
64,108,100025,926.157407407,8.90688494202
65,98,99950,1019.89795918,8.64402719174
66,112,97095,866.919642857,8.49673712868
67,104,101815,978.990384615,8.33559438189
68,121,94600,781.818181818,8.23980334237
69,97,105090,1083.40206186,8.50286878187
70,98,79885,815.153061224,8.72228111658
71,101,99055,980.742574257,8.76083082035
72,103,84605,821.40776699,8.83672434494
73,86,92225,1072.38372093,8.67879729953
74,92,81740,888.47826087,8.7126673181
75,96,102455,1067.23958333,8.4602803788
76,104,105795,1017.25961538,8.48939813811
77,91,101905,1119.83516484,8.47281682596
78,102,86300,846.078431373,8.52261338428
79,86,96205,1118.6627907,8.6812187387
80,97,94625,975.515463918,8.62844390299
