epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,te_a_0,te_a_1,te_a_2,te_a_3
1,48899,48828,48484,48403,3008,115496,3565,2143
2,54609,72283,60713,55717,7925,103643,7341,5477
3,45202,61230,75191,63319,4657,16280,49521,54269
4,34713,53362,75789,83439,3529,45939,36388,38912
5,32046,54633,75876,85344,6002,6409,40273,72142
6,35914,52697,74711,84981,16427,39912,27293,41198
7,43387,55181,69515,80370,35249,29659,29225,30740
8,47508,56857,67566,76835,29154,28501,34099,33126
9,52440,56843,65588,74043,11558,17373,38160,57812
10,54438,57565,60837,76147,35708,27311,24665,37222
11,60027,58681,60149,70147,28256,12509,45406,38743
12,61036,66649,55806,65569,40650,42070,17438,24750
13,59190,65389,56041,68451,79298,6580,18869,20165
14,55048,63259,59021,71746,21017,7700,42782,53417
15,54867,65419,57451,71331,7597,33193,41316,42810
16,59152,63541,56527,69883,25882,8826,50921,39297
17,57991,61048,56171,73868,13104,32022,25745,54052
18,58390,62382,56696,71607,44570,7721,28196,44437
19,59346,63401,57092,69151,16833,22094,39535,46457
20,59946,62849,57444,68859,6451,39532,38204,40736
21,60511,64315,53731,70536,23420,49546,20164,31799
22,58577,62941,52104,75417,15338,12977,34256,62359
23,60892,63177,54604,70442,16703,41001,34741,32478
24,61728,64848,54468,68038,26430,21987,32559,43954
25,63176,63571,53562,68740,67626,12957,12453,31885
26,60875,64008,57819,66264,45004,26015,30144,23734
27,60871,64534,54852,68790,17564,21622,58885,26820
28,60568,66245,51924,70326,14371,16749,43841,49976
29,64101,66062,51760,67131,27925,14814,58868,23286
30,59151,66278,52498,71061,18155,29855,31000,45920
31,61277,66320,51739,69721,97258,3835,12367,11470
32,63240,64836,51639,69306,19734,29794,19869,55533
33,62719,66522,52122,67610,29924,29125,23089,42795
34,65464,64896,52614,66047,59199,29223,21763,14745
35,65462,66556,49648,67426,20617,26394,24683,53239
36,66256,64405,50188,68248,20337,32542,26256,45792
37,63695,65480,55010,64884,11581,14800,40044,58507
38,67087,62189,51795,68018,2464,63556,17062,41848
39,64004,63344,52085,69652,44369,10912,33108,36538
40,63515,63920,55299,66303,8794,35308,30666,50157
41,62286,66203,53439,67104,77711,15385,15957,15864
42,64233,64156,54895,65645,30159,59742,18043,16966
43,67442,67301,52542,61737,21483,15499,35974,51972
44,65801,68150,51175,63925,16033,80397,13992,14490
45,63439,68434,52696,64444,84752,9038,14037,17094
46,66324,64360,51578,66807,39352,14244,21759,49562
47,66510,64747,52130,65645,36428,14812,32284,41403
48,66025,63177,53854,65959,48469,28192,21019,27249
49,64012,64412,53012,67617,20832,53918,22355,27813
50,63723,64576,54624,66108,62374,5097,30759,26689
51,64560,66755,53877,63831,44194,7849,39166,33717
52,63782,66106,56652,62523,61453,23728,20799,18948
53,65343,63937,55508,64266,34262,28664,22020,39984
54,65306,62838,55406,65453,51966,39653,17549,15712
55,64152,65298,54581,64981,81380,12484,15724,15333
56,64464,62384,55438,66733,50359,23719,19533,31313
57,62692,64657,55892,65827,37448,11478,43007,32994
58,66023,65539,53887,63603,23835,43941,32669,24473
59,64900,66847,52983,64304,24355,50614,20108,29853
60,65747,64365,52507,66442,2916,55964,30671,35373
61,65069,65042,52270,66612,27774,56773,18577,21799
62,64728,64770,51155,68326,18346,28145,26071,52369
63,64146,63642,51397,69851,23880,43871,29374,27792
64,62574,65922,52799,67792,10571,8971,34783,70603
65,63530,60745,52445,72323,49028,12720,32784,30370
66,65047,63535,52578,67794,4242,62129,28881,29668
67,63341,64528,53828,67223,15817,81284,11835,15980
68,64147,62103,55853,66673,3427,34098,41015,46384
69,66141,61512,52525,68581,50231,9080,19319,46279
70,63111,59644,50872,75203,70767,14897,12464,26783
71,67055,64246,51196,66471,11707,63156,31575,18446
72,63813,62890,52668,69655,24817,6408,44948,48722
73,63667,64612,53878,66879,13070,49389,28126,34341
