epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,te_a_0,te_a_1,te_a_2,te_a_3
74,64813,66887,48889,68404,74403,14897,16421,19205
75,65286,64112,53287,66273,62929,5969,22633,33394
76,65103,63802,53560,66487,7582,25065,28442,63827
77,64000,65972,51055,67934,84046,11155,11936,17797
78,65269,62331,52109,69113,10417,30423,49825,34245
79,63376,66238,55639,63691,6167,25710,50193,42842
80,63348,66038,54141,65462,63095,14084,20040,27704
81,64834,65695,50367,68127,28490,51293,21610,23530
82,62533,69224,50333,66872,33779,52285,17322,21541
83,62244,64720,53363,68655,18258,14290,37036,55345
84,63771,67118,52039,66044,58073,23335,20842,22687
85,64569,63729,49629,71080,55445,27207,12190,30084
86,64863,62920,52655,68492,34314,3900,49723,36975
87,61961,63192,52987,70821,18990,22677,47612,35645
88,63129,63682,51983,70135,78775,3695,20791,21650
89,62098,63071,52290,71433,52152,42917,13911,15929
90,63802,60766,55467,68780,26556,17072,45112,36175
91,65936,63720,53445,65888,20892,66673,21859,15489
92,66254,62964,52324,67420,26731,31904,17646,48644
93,65228,63773,52191,67830,37943,11510,41723,33755
94,63518,65831,51814,67866,58709,22989,21522,21699
95,64245,62868,53154,68698,40394,9754,35235,39543
96,65913,63912,53606,65556,24050,30645,42560,27615
97,64153,63772,54216,66699,34680,34957,27238,28045
98,63368,64867,55119,65519,82660,15919,15218,11092
99,61081,62882,53853,71078,28642,16444,40604,39231
100,61620,65215,51489,70579,41581,22749,37446,23116
101,62809,65516,53432,67080,19851,39479,13642,51931
102,61480,62494,52772,72013,40289,10030,31417,43183
103,62442,64963,51640,69887,46838,32388,15994,29712
104,62504,64696,49546,72159,24113,12982,58023,29780
105,63751,65538,50996,68623,78917,5572,13351,27092
106,63635,62653,52480,70173,25981,19361,35197,44391
107,62985,65785,50655,69613,17509,32961,24595,49872
108,66045,63035,50576,69360,10340,35526,41930,37108
109,63471,64062,51848,69628,34184,41493,22759,26487
110,65836,64542,49837,68758,43176,30786,22528,28430
111,63013,63068,54069,68721,7946,36276,26495,54226
112,63129,63100,51985,70772,15840,22715,44701,41673
113,61965,66077,51527,69471,14934,64428,18572,26992
114,63365,64087,51908,69672,59712,34067,16046,15102
115,62804,63577,54384,68148,29323,31131,36575,27868
116,62183,63965,53644,69157,66587,14721,20320,23304
117,64270,64733,51510,68446,48291,33176,19857,23607
118,64098,64232,51026,69714,48551,19867,22082,34439
119,61904,62748,53498,70871,50602,19352,30533,24410
120,61044,62724,54813,70235,42406,19567,30330,32620
121,62245,61850,56428,68319,23444,21663,39559,40260
122,64860,65512,50157,68427,55870,24462,24678,19893
123,61822,63840,52291,70906,20438,49854,21210,33424
124,60935,63169,53676,71138,38672,20535,23240,42480
125,60202,65601,55741,67181,22253,48097,31357,23187
126,62363,63849,53758,68881,49899,11293,26773,36958
127,62300,62455,51293,72925,24416,50269,17378,32862
128,63962,63801,51681,69399,7179,37958,32134,47646
129,63518,63017,51679,70664,23810,59718,20906,20501
130,62338,63452,52425,70679,72515,12808,13485,26099
131,62116,62206,52880,71767,38243,26797,41002,18823
132,61664,64363,54481,68403,17792,28065,20401,58672
133,61665,63155,53270,70856,22795,39784,16743,45605
134,60213,63891,54836,69950,59944,14901,26117,23938
135,60416,62174,55010,71333,26416,44427,28010,26065
136,65812,60115,54827,68044,35957,53417,14108,21422
137,63257,62527,51515,71484,49400,10837,31150,33516
138,61531,63209,51371,72812,48146,25899,16251,34624
139,59927,65197,51192,72551,41515,25970,22694,34700
140,62149,61279,53074,72346,82028,13139,10072,19661
141,62553,61457,54401,70550,40230,23940,27793,32931
142,62572,61085,54340,70830,10743,18419,31070,64703
143,61876,62185,51260,73549,19119,26143,22923,56728
144,62754,62090,52625,71395,38649,22301,14234,49752
145,65099,63446,51449,68872,75763,20314,11802,17040
146,65277,63328,51732,68546,31407,30815,34234,28442
147,65140,63837,52478,67426,27912,47080,20161,29783
148,62363,61916,51998,72697,24694,22644,19200,58397
149,62786,62549,55646,67708,27136,48189,27690,21883
150,62632,60998,55613,69535,38928,21135,42797,22018
151,63237,60045,52133,73320,18427,41566,26417,38525
152,60072,63899,52876,72038,40454,24730,17504,42240
153,61493,63842,52387,71171,37365,26869,28206,32480
154,61027,63607,55649,68564,15086,26636,32315,50869
155,63556,60690,55408,69108,40192,33100,19567,32071
156,61594,58432,53040,75881,23146,59728,16407,25634
157,61636,60755,51863,74501,26432,35456,33011,30017
158,61525,63616,52467,71281,9475,28593,42317,44527
159,62955,61595,52140,72328,40978,8333,35174,40442
160,62759,62419,53582,70144,52069,32847,17015,22990
161,64345,59672,51954,72910,44526,11210,33152,36017
162,65504,59076,50674,73667,54215,31929,13614,25167
163,63441,61549,54925,68884,37916,18588,38820,29538
164,65374,57946,56232,69106,45053,11484,28488,39879
165,62683,59601,54199,72401,24042,14938,22735,63217
166,62650,63993,52492,69731,15962,16617,58917,33406
167,63130,62921,50338,72549,11881,10446,37462,65138
168,61091,61296,51115,75466,50795,37260,13031,23842
169,63556,62720,51298,71309,42005,35919,18718,28281
170,62153,60987,53939,71680,36210,56982,14551,17164
171,62449,61788,54820,69821,61347,14043,28270,21240
172,63997,63974,52508,68290,4998,78283,23435,18176
173,63683,60804,53314,70913,29013,24644,25829,45436
174,62999,60279,52550,72826,36361,18612,28413,41527
175,61878,61695,51135,74166,26221,34417,31179,33082
176,62348,59741,52145,74770,35286,25454,20708,43474
177,63818,60659,49748,74854,37151,32169,23925,31690
178,62618,62840,50576,72965,61954,13774,17643,31571
179,62346,62751,50953,72951,45193,17235,28573,33923
180,61566,63808,51945,71564,24172,22348,29652,48753
181,61693,62179,52476,72624,16400,37145,36955,34428
182,62333,64651,52964,69025,17545,41722,21758,43892
183,62821,63151,53348,69523,6707,55759,22447,39994
184,60534,61545,52992,73762,9698,19525,22583,73108
185,61411,63226,54528,69734,42373,22610,32845,27089
186,62975,61881,54411,69690,31723,32959,17230,43026
187,60938,63982,51932,72102,12497,27102,27906,57405
188,62076,61623,54143,71040,21975,23014,35535,44408
189,61788,63691,51073,72358,54008,12433,27056,31414
190,62892,62401,52859,70711,31934,14904,37393,40683
191,61164,64235,50961,72546,37667,25538,28416,33309
192,61061,62797,51941,72976,21532,26522,35323,41535
193,61737,61759,56604,68645,42212,49063,16293,17335
194,62076,62684,52180,71923,17019,17567,19165,71165
195,63534,63174,52505,69639,22071,17336,41981,43526
196,63749,62707,49515,72953,32713,40703,25612,25870
197,64435,62866,51327,70366,11609,64022,29918,19320
198,62024,60941,56363,69463,34563,13703,22148,54518
199,62833,61251,52423,72458,79506,12743,13618,19058
200,60659,62148,52067,73989,66594,27300,14412,16606
