epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,217,37850,174.423963134,1.13775348185
2,214,41815,195.397196262,1.76851137488
3,195,30925,158.58974359,2.67341320035
4,199,44580,224.020100503,3.29204772376
5,128,55000,429.6875,4.21306896817
6,158,72010,455.759493671,4.97107830167
7,137,70260,512.846715328,5.72827217136
8,120,66090,550.75,6.66188311532
9,130,56505,434.653846154,7.35437501281
10,134,70385,525.26119403,7.83847678475
11,151,74230,491.589403974,8.12793285064
12,144,77335,537.048611111,8.40491440579
13,143,73385,513.181818182,8.89915577121
14,149,53140,356.644295302,9.14733723857
15,137,58975,430.474452555,9.13035223827
16,143,78455,548.636363636,9.162664386
17,114,57225,501.973684211,9.28953931436
18,118,81790,693.13559322,9.20899206676
19,102,72465,710.441176471,9.33337399401
20,125,77460,619.68,9.13995953478
21,126,85195,676.150793651,9.36058790017
22,117,84275,720.299145299,9.42572765507
23,129,70535,546.782945736,9.52767211273
24,116,83160,716.896551724,9.52343582116
25,123,83645,680.040650407,9.58137600038
26,150,88815,592.1,9.3648593713
27,119,79660,669.411764706,9.21238586407
28,118,81905,694.110169492,9.33850280652
29,112,84640,755.714285714,9.52967034575
30,120,89905,749.208333333,9.27345870312
31,150,79760,531.733333333,9.24749173485
32,125,92135,737.08,9.16845730796
33,136,93810,689.779411765,9.18750569105
34,129,90215,699.341085271,9.16691536225
35,112,87200,778.571428571,9.34253450304
36,131,90600,691.603053435,9.23185599409
37,121,93030,768.842975207,9.1829742007
38,118,92850,786.86440678,8.97997649625
39,137,96875,707.116788321,9.252568051
40,146,98335,673.52739726,9.19194990821
41,121,82115,678.636363636,9.22096783638
42,123,96945,788.170731707,9.13913065299
43,105,91230,868.857142857,8.89895906083
44,129,97195,753.449612403,9.05039481752
45,127,94280,742.362204724,9.090220806
46,125,96045,768.36,9.08865897715
47,119,92045,773.487394958,9.00628972098
48,123,99140,806.016260163,9.16991433389
49,129,99625,772.286821705,9.20202153094
50,122,99510,815.655737705,9.18010671496
51,100,98355,983.55,9.04689869128
52,117,100880,862.222222222,8.82463799194
53,126,98725,783.531746032,8.88255169868
54,112,92735,827.991071429,9.0746219746
55,104,90995,874.951923077,9.20261920266
56,117,91465,781.752136752,8.9936896988
57,106,101880,961.132075472,8.85301826917
58,108,98865,915.416666667,9.1740977107
59,110,89595,814.5,9.27958922595
60,93,100555,1081.23655914,9.14280116156
61,97,90815,936.237113402,9.07594533436
62,102,82350,807.352941176,8.76638341948
63,106,96470,910.094339623,8.79131840415
64,104,104295,1002.83653846,8.77434297934
65,103,104385,1013.44660194,8.93282109484
66,99,99655,1006.61616162,9.06508810021
67,100,97815,978.15,9.09751147419
68,103,94810,920.485436893,9.28364631213
69,94,90990,967.978723404,9.42259163313
70,84,98650,1174.4047619,9.37987661652
71,101,100985,999.851485149,9.31366392598
72,99,106035,1071.06060606,9.41183109313
73,103,99820,969.126213592,9.16505558379
74,97,98545,1015.92783505,9.25886871025
75,105,86615,824.904761905,9.0053820242
76,91,102670,1128.24175824,9.0072253152
77,111,97990,882.792792793,9.12958500937
78,107,101675,950.23364486,9.07483713746
79,90,99850,1109.44444444,9.18096577391
80,88,91385,1038.46590909,9.29433111742
