epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,tr_a_4,tr_a_5,te_a_0,te_a_1,te_a_2,te_a_3,te_a_4,te_a_5
52,31707,46901,42280,36392,47172,45017,30369,8895,10006,6994,36257,32382
53,30598,48050,44498,37361,45128,43890,7938,5412,57324,38664,4395,11182
54,31623,46574,43530,37495,46215,44051,29413,21879,17053,17331,20317,18909
55,29268,46933,42811,39017,45558,45923,74640,10507,10463,7105,14409,7765
56,31885,43958,44294,36881,46384,46109,25954,22086,13689,25831,27441,9909
57,31990,44735,43806,37384,45841,45773,4557,46050,6680,33206,21472,12946
58,31017,46973,41394,39628,44670,45844,32264,22112,30643,8566,4650,26675
59,30506,45313,42592,36643,47110,47365,4396,18443,38549,10578,17371,35559
60,30965,46381,41858,36223,49357,44722,48126,31351,12863,13478,12400,6679
61,31905,46244,43583,36296,47400,44074,30272,18307,13146,24536,20351,18303
62,32662,45695,42636,36259,48606,43590,11232,38898,6274,5414,32208,30875
63,33769,45532,43855,36599,45100,44606,23510,30961,36352,7987,4515,21565
64,32470,44822,42929,36200,46952,46164,44452,9086,10118,32565,22779,5909
65,33397,46624,41994,35201,46388,45927,1826,18203,43541,25754,14293,21291
66,32417,46700,43681,36132,48318,42268,9273,17990,30428,8409,17543,41264
67,32654,45204,41960,37332,47436,44929,16126,56662,17729,14555,12295,7532
68,32270,46263,40965,37996,46975,45032,26711,18990,24732,17523,11558,25399
69,34623,42232,42170,37711,49093,43687,25986,3563,17207,28559,29213,20376
70,34405,44941,40732,36320,49482,43657,6388,38725,5383,21573,30093,22751
71,32067,47096,41758,38193,47497,42914,40472,7695,21560,8596,15917,30678
72,32581,45988,41957,36952,47821,44202,10186,36577,3211,7355,47147,20427
73,31791,44750,40409,38228,49061,45267,4325,73438,18345,6435,7976,14380
74,33671,45483,41600,36980,46869,44923,35169,8043,13704,5925,22954,39089
75,33275,45466,42514,37466,48125,42660,3630,12762,34493,38715,17482,17828
76,34005,44378,40430,37455,50605,42670,19284,10841,25646,33451,18888,16799
77,36395,43339,41912,36149,47980,43751,20066,13653,38676,29311,9480,13726
78,35653,46040,40717,37604,46084,43440,18489,5199,46204,10333,9992,34698
79,32549,46534,41887,36432,48602,43523,6509,84202,12648,9932,7331,4280
80,33457,46473,42362,37663,47067,42536,7285,44044,17945,6982,21135,27526
81,34538,45806,41444,37239,48003,42494,2726,18711,23030,33817,31734,14902
82,32151,47047,42375,37583,47043,43343,6181,7790,16706,44900,32120,17219
83,34569,47221,43078,35500,47148,42032,29553,13660,37631,14919,6119,23023
84,34350,46726,43109,38223,46443,40721,4770,62170,4901,14812,21928,16322
85,35238,46718,42421,37256,46888,41005,56294,13543,5680,21702,23729,3964
86,34843,45074,43312,36359,47437,42509,27524,24996,6217,17396,28334,20453
87,34060,47320,43294,34677,48556,41614,15037,19997,4036,18828,48602,18407
88,33851,46576,43912,35728,48186,41255,2566,9707,41077,5873,15124,50548
89,33334,46934,43598,36580,47311,41762,6011,7973,23041,12930,36948,38006
90,35796,45053,42263,35562,45712,45165,18799,22190,7302,36110,31137,9374
91,33362,45933,41607,37728,45699,45188,10883,51063,18484,14660,13911,15928
92,35264,46607,43015,36626,45477,42563,44922,15093,6632,17453,31612,9197
93,33718,46401,41383,37869,46565,43604,7843,3459,28853,24999,31423,28331
94,34515,45327,43191,38021,46753,41719,5406,24337,17984,36790,29318,11076
95,34924,47550,42496,36581,46896,41062,4155,24488,34579,21726,15303,24661
96,34246,45678,42630,36385,46502,44093,20494,13768,22842,17618,29886,20286
97,32486,45981,43526,37546,46087,43905,3288,16930,5709,5796,41752,51429
98,34231,43916,42708,37466,46569,44649,34322,3795,14883,40908,23786,7218
99,33491,44243,43783,36227,47662,44157,12718,33712,14866,3988,24073,35544
100,33242,46183,42162,35402,48530,44012,6096,15621,43554,51409,4391,3846
101,34228,47896,43420,37066,45967,40925,13960,15437,17989,6685,33529,37301
102,34917,48382,40617,37906,45610,42106,16256,5144,7774,3426,42879,49412
103,33448,45773,42962,37663,45261,44418,6518,16294,38090,10002,11406,42608
104,33769,46026,42982,37522,45066,44195,4055,13928,30407,5485,15555,55492
105,34026,45304,43759,36631,45607,44220,9217,55640,18443,12559,12082,16971
106,33436,44726,43344,37511,46669,43851,3163,4311,12780,9716,57202,37738
107,35099,46419,43477,37313,45118,42087,20818,23170,13868,9866,32042,25142
108,33747,47848,42647,36308,46574,42388,12533,33283,30742,30366,15140,2837
109,34587,46912,42434,38806,45658,41131,5114,20177,54278,19578,6786,18989
110,33334,46220,42432,37706,47590,42253,6425,71986,8664,16498,17862,3464
111,34785,48117,41526,36678,45826,42552,7127,72397,14863,8555,12683,9274
112,34064,46192,44024,36674,46326,42227,7225,10255,26310,7924,22071,51127
113,32868,46016,44329,37671,45633,42999,31204,6178,32493,22164,13920,18950
114,33394,46840,44249,36801,45924,42313,4661,23191,18997,7225,30467,40364
115,34447,47340,43695,35902,45295,42810,50001,17324,15644,14438,12811,14683
116,34854,46585,43304,36068,46703,41980,19269,25554,17573,24969,20356,17185
117,32476,47868,42320,36861,47352,42638,12848,13391,28565,7024,27269,35821
118,34327,45392,43139,36547,47153,42945,83700,4647,7059,9695,12118,7670
119,33902,45152,40514,37674,46718,45559,54072,3288,6741,11813,30902,18089
120,33713,43996,42347,37254,48200,43967,12357,67123,16215,9698,10018,9486
121,35723,45743,42140,36624,47168,42083,32811,15176,4041,23721,40942,8223
122,35426,45352,42513,35881,47004,43353,7177,47470,27836,14342,5322,22763
123,35068,45886,44323,35307,47413,41515,23847,22817,12417,41624,18985,5219
124,33677,47722,43037,35809,46229,43037,30050,17268,5644,11844,39563,20533
125,34511,45263,42447,37522,46972,42801,5722,4624,23158,18241,52751,20413
126,33341,45959,42894,36372,46835,44147,2153,9512,40071,26381,13993,32801
127,33399,45820,42448,36738,48132,42965,4199,68426,20199,10787,10416,10869
128,33579,46024,43239,36022,46530,44112,7509,51333,30297,22630,8656,4472
129,34982,45274,43863,35572,46088,43749,5193,15313,58552,19175,5222,21457
130,35453,45736,44436,34670,46636,42616,40250,15671,32617,10213,10281,15868
131,33752,46772,43214,35962,45150,44632,23478,28250,34611,7591,5593,25403
132,35357,45021,43370,36046,45112,44630,3232,10637,35694,21975,11016,42357
133,34957,46626,42138,35656,46306,43832,21827,10246,6369,26072,44587,15807
134,34935,46583,43863,36200,44083,43824,36797,54352,13813,11715,6281,1911
135,33468,47497,43592,36401,44526,44013,24203,43168,15446,3180,16978,21929
136,34408,47251,42826,36579,43459,44958,29906,18110,24272,27250,6622,18761
137,34002,45573,42123,37085,45679,45026,71328,9021,25336,5076,2182,11927
138,34061,48886,42059,36155,46460,41881,33207,3075,8905,32529,31786,15394
139,34897,48215,44043,35227,44008,43100,2137,51161,36184,16646,5498,13269
140,34797,49779,41633,35679,45701,41844,27909,20222,21495,8040,15785,31436
141,34311,46971,42646,35970,44892,44693,4471,74559,15237,14239,10405,5984
142,34845,47538,40203,38271,42948,45710,2828,9246,17348,34946,32803,27733
143,33249,47085,42442,37909,47569,41229,18947,24859,16410,18998,27991,17697
144,32749,48059,43401,35396,47148,42717,30190,24661,27415,10767,6625,25245
145,34552,47038,41530,36062,47476,42809,2508,10399,52043,31395,4695,23844
146,35096,46768,42677,36276,44681,43947,2161,43301,21810,36596,17973,3059
147,36391,46826,42541,35258,44998,43425,7249,44030,13401,8886,29763,21563
148,35229,46783,42686,35627,46567,42531,24418,25319,27038,8413,9532,30200
149,34059,45685,43334,35661,46435,44287,11465,51915,11549,14146,22867,12966
150,34300,48119,43821,36371,44982,41875,33784,22920,17833,9003,17880,23487
151,35042,48144,41692,35966,45636,42987,7128,52880,11695,11446,19780,21963
152,36880,46060,42551,36263,45615,42088,10254,50285,26743,24932,7116,5575
153,34585,47896,41136,37427,45162,43244,9436,18590,35884,18069,23396,19527
154,34223,46653,42426,37416,46736,42052,5513,8713,42782,3992,27919,35981
155,35991,47285,41370,35583,45873,43372,13860,5949,26933,11992,24136,42022
156,35429,45375,43544,35751,46221,43132,16155,16931,48312,25512,6288,11705
157,34650,47509,41359,34928,46982,44043,4956,7437,31057,62995,13689,4743
158,33862,46748,43023,36084,46065,43679,17598,9882,28439,2314,14893,51771
159,34321,46097,41394,37612,46279,43744,34584,2664,8395,26224,46799,6247
160,35232,45158,42747,35628,47314,43385,15576,58973,31698,4548,4080,10023
161,34931,47147,40663,36370,47615,42735,51430,4669,30622,20783,5159,12237
162,36269,47244,39739,36307,46638,43276,11162,74266,19143,2252,3641,14435
163,35822,46761,40895,36850,47762,41353,28550,44243,14267,22479,12719,2646
164,36141,47541,41644,34667,46519,42949,42260,8876,32981,8300,7197,25280
165,35551,46203,41822,36956,45949,42991,13238,20015,21592,25213,21310,23540
166,35741,45500,43106,35153,47272,42690,30080,30990,10666,30332,15076,7763
167,36234,47703,40736,35536,47120,42142,56603,7424,33243,12411,9393,5810
168,34044,48102,42635,37050,46064,41554,43782,4086,16623,11581,25107,23733
169,34596,47146,41615,36033,47077,42994,1855,8747,52902,44717,8235,8456
170,33868,47440,42186,37609,44919,43460,16529,8143,27362,5202,16499,51177
171,33704,47039,41554,37941,43888,45346,5219,4095,57393,30334,10631,17229
172,34036,49032,41110,37685,44404,43220,58647,12570,9179,15553,20737,8212
173,36538,45228,42260,35948,46249,43256,4747,51958,11921,6651,23190,26437
174,36061,46817,42277,38060,45090,41154,55747,26933,17058,11815,7710,5634
175,36036,47641,40801,37603,44895,42478,5777,7497,52835,26309,8294,24204
176,35046,44468,43128,36549,45200,45084,20660,10906,9840,4253,60029,19188
177,35052,46295,42019,36522,47138,42443,5219,28611,12570,22930,40161,15409
178,35216,46665,42543,36900,44796,43352,57988,2772,14477,23270,18258,8136
179,33836,45689,44351,37394,45386,42820,36478,9777,26545,5584,16874,29645
180,33933,46325,43759,36909,45645,42908,6920,9929,54747,27706,8588,17003
181,34314,47355,43022,37016,45026,42729,40346,6017,14365,29004,20943,14228
182,35352,45337,42920,36668,45199,43990,4814,28270,8345,21801,36467,25211
183,34464,47745,42319,36482,45830,42654,12307,65140,13768,13913,13194,6577
184,35068,45602,43684,37015,45821,42278,3190,24825,6052,12922,48475,29436
185,35805,46575,42808,36616,45059,42614,18866,76117,12434,9741,4034,3698
186,35247,47261,42616,36785,45705,41842,72444,8173,6135,3838,20408,13904
187,35311,43387,43052,37369,48546,41789,65281,3732,13218,2959,17999,21716
188,35630,43985,41944,37755,46869,43295,60298,10245,8721,11799,18379,15473
189,36528,44510,41921,36290,46426,43827,9964,38481,29601,32421,7232,7203
190,34986,46248,42418,38045,45071,42705,4665,11426,4502,14558,56896,32840
191,33813,46186,42824,38557,44750,43334,7719,8331,3339,5571,51983,47974
192,34710,49272,41778,37479,43938,42326,52144,5714,29327,9993,9699,18030
193,34755,47716,40687,38484,46296,41605,8159,7097,31491,5167,8289,64708
194,33764,47874,41719,38381,45653,42088,39328,25287,4642,10615,32708,12334
195,35303,46035,42228,37121,46061,42729,16761,48289,22371,3194,9560,24726
196,35553,49078,41336,37897,43911,41743,7282,35552,29564,18278,5253,28970
197,35543,47076,42332,37474,44362,42714,31247,13579,18726,34196,19603,7546
198,34629,46267,42429,36788,46986,42353,53978,4588,19883,19491,17869,9099
199,33923,45665,41533,38667,47153,42555,3205,28117,30600,27224,21397,14364
200,35269,46372,43093,37283,45858,41636,5546,4042,5739,25793,55659,28135
