epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,tr_a_4,tr_a_5,te_a_0,te_a_1,te_a_2,te_a_3,te_a_4,te_a_5
1,54530,57858,46258,26777,6374,7176,15796,40509,3765,3620,57180,3911
2,59177,70068,51118,36375,15671,16280,1960,20746,2676,1489,45986,51906
3,48931,68835,40632,31533,25881,32846,3103,6159,3824,1394,92063,18237
4,35241,53948,37741,33633,47286,40739,9686,20652,17926,4958,16355,55176
5,34079,41737,48006,40845,51169,32963,7520,29337,18763,20178,5837,43220
6,35477,47557,42730,40518,45836,37055,19318,21430,33476,31611,6825,12198
7,35329,52876,40155,33947,46086,41028,14567,2807,32669,42674,28240,3896
8,32713,56284,37861,33034,47945,41645,1177,29413,53458,36766,1870,2200
9,32283,52987,40943,31951,49660,41590,1420,73119,15706,8089,10923,15559
10,33450,54452,37747,32692,50083,40971,11793,31866,48121,7849,1463,23781
11,31615,52446,39763,31381,54330,39869,1242,1786,1250,21742,97093,1766
12,35988,50062,40902,31189,53698,37588,3473,33670,2963,2685,39772,42303
13,32059,52832,37945,32721,50672,43208,3524,94709,11595,4209,6753,4071
14,32166,50165,39153,33250,52347,42301,43145,51133,5136,1495,13408,10568
15,30644,52098,39280,31686,53687,41947,1811,6914,20738,2549,45767,47098
16,32079,49126,40966,33360,51142,42753,15990,52820,19483,8401,15470,12718
17,35165,53263,39081,33557,49730,38638,13607,6303,30101,38491,24273,12112
18,31441,49467,38764,33578,53022,43171,50017,22443,13393,19250,14583,5185
19,31642,48159,41074,35381,52722,40420,5867,16629,16775,20155,31603,33853
20,30852,50854,39491,33274,52489,42465,3372,6057,3471,1359,56983,53640
21,32470,48674,39655,35097,50671,42837,44122,17268,20569,3598,12494,26820
22,32061,46397,40468,36897,50807,42791,22014,9837,14879,50314,25706,2121
23,31045,49476,41457,34393,49764,43337,6890,12204,3359,22665,61012,18748
24,30525,49482,41752,33858,49279,44568,2553,14303,9049,3178,47562,48243
25,31032,48146,40762,35889,50020,43579,8061,23886,11572,12657,22969,45759
26,31002,47787,42205,35862,51505,41048,4360,28704,10101,2991,35248,43477
27,30026,47993,41982,34610,51855,42984,5555,30409,50453,5841,5240,27388
28,29518,46626,41802,34419,52031,45049,33115,11222,8235,15110,30080,27131
29,29774,46648,40799,34247,51648,46327,15982,31222,21617,12614,21378,22061
30,30044,47264,39542,36885,48132,47595,31853,25473,11270,29807,16357,10128
31,33297,48400,37396,36795,49131,44474,6064,53383,21775,8895,18741,16033
32,31847,48704,40692,34617,47429,46180,5557,35814,29778,1469,14628,37638
33,29341,46926,40535,36154,48366,48124,2368,59544,13835,26196,15836,7102
34,32077,48262,39309,37353,48427,44016,15670,45738,10708,9468,21617,21677
35,31069,48322,42832,36371,46541,44302,4198,3602,44489,52702,14224,5678
36,32280,47641,42452,36262,46760,44066,6196,14413,9888,29314,43917,21167
37,31182,47191,44524,34666,46615,45296,5013,54983,27163,11989,8041,17710
38,31244,48643,43797,35725,45638,44427,33432,6094,6621,1448,42663,34628
39,32582,47854,43194,35261,45072,45484,1376,25682,25497,31113,25064,16145
40,32338,48219,41997,35041,48989,42851,2815,63874,12159,12720,18224,15096
41,32281,46403,44385,37623,46784,41985,45957,8419,35272,10182,9351,15717
42,31747,46601,42871,37809,48932,41520,19559,21475,8513,15491,39440,20407
43,31912,46118,44071,35465,47901,43996,2762,18729,16498,37920,40280,8709
44,33242,43035,45011,36996,46826,44358,9591,16748,7196,11922,45896,33546
45,31747,44406,45263,36047,48169,43847,12469,15389,17304,35294,37759,6691
46,31989,45850,43942,36064,48250,43390,13976,30973,18307,29866,25678,6096
47,31894,45549,42926,36820,49333,42980,5142,35194,29021,38627,12626,4286
48,31140,45265,43378,37968,47398,44322,5073,32515,23024,16836,20458,27000
49,33628,45829,43840,36273,46024,43871,5545,18517,48378,18121,5031,29304
50,33018,41629,43723,37575,47741,45785,20517,12680,13647,12237,28681,37151
51,32334,44698,44373,38896,46588,42607,4216,9877,27187,10162,30641,42821
