epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,tr_a_4,tr_a_5,te_a_0,te_a_1,te_a_2,te_a_3,te_a_4,te_a_5
1,33091,32791,33370,33194,33351,33036,5007,35766,7900,18798,10268,47043
2,40648,41607,41205,41869,41112,42080,25699,20808,34375,9558,6414,27931
3,40511,41518,41238,41533,41827,41895,97325,1529,8777,2564,5786,8823
4,40502,40891,43168,40880,42284,40805,16616,1226,54927,20686,3725,27620
5,39407,39550,44387,41262,43617,40453,17727,50998,10059,21183,19226,5678
6,39375,39527,44393,40922,44037,40466,52778,12178,3139,1098,26873,28775
7,39113,40270,43980,40280,44113,40913,1801,17892,10861,1940,45016,47352
8,38294,39175,47010,39154,46555,38537,3141,19109,2982,1532,74228,23887
9,38102,39469,46326,38552,47899,38362,2305,2181,37173,40414,39511,3285
10,37454,38549,46958,38304,48989,38493,5632,3225,1544,53475,59871,1118
11,37598,38937,46961,37282,49611,38366,2393,98762,1685,1339,16775,3894
12,37071,39114,47300,36942,50471,37827,2210,20654,23315,29372,29709,19595
13,37088,38961,47043,36891,50332,38492,7586,45826,24211,13097,30269,3867
14,37315,39768,46857,37029,48879,38943,8311,3820,65787,33727,2136,11069
15,37063,39622,46169,37121,49284,39607,1575,7086,44713,56266,14087,1135
16,35985,40064,46207,37117,49731,39746,2717,95461,14588,4110,4729,3251
17,36363,40066,46827,36647,49258,39730,80719,22922,4846,5339,6474,4585
18,36695,39261,46583,36401,50935,39074,1757,49285,1512,21713,47397,3217
19,35559,40940,45639,36315,50651,39903,1185,18377,1272,29076,66840,8147
20,35281,40468,47286,36163,50699,39114,18905,18702,44029,31436,4696,7106
21,35526,40416,46048,36342,50202,40500,1307,33895,5887,38834,43108,1842
22,34291,40913,45238,36901,50320,41363,11506,27303,6737,32276,31319,15741
23,34549,39912,46302,37559,48924,41894,38503,6586,40291,27491,6248,5751
24,34525,40344,46403,37418,49605,40779,34998,1174,3866,10830,43500,30515
25,35866,39154,44679,38117,48825,42506,22816,11062,36910,1686,13453,38949
26,34642,41711,44564,37985,47720,42529,1793,67201,3184,9737,34149,8785
27,34859,40910,44783,37606,49874,41115,7666,7280,34931,39896,19844,15263
28,35177,42021,43324,38242,48365,42041,3723,22236,51738,5011,8148,34025
29,34319,42177,44625,36997,48640,42470,17541,60051,15760,3498,9715,18322
30,34782,42713,44273,37053,47928,42497,2566,71707,15006,8538,15954,11108
31,35244,41375,43869,37813,47300,43677,68135,21778,13870,9315,6266,5485
32,34169,42382,43305,38114,48022,43271,8895,57315,22432,15784,9197,11251
33,33171,43102,43284,36496,49182,44063,3029,44789,41041,5553,4432,26019
34,34348,43099,43794,35720,49167,43205,3373,31347,6803,31734,45676,5937
35,34136,44578,44551,35724,49154,41194,13871,62706,11426,10538,18298,8048
36,34443,44014,43038,35050,50536,42266,17901,11616,6818,29795,45022,13716
37,32571,44148,42267,35940,51307,43125,33641,26448,21183,9080,12943,21583
38,33068,46790,41148,36835,47903,43630,44246,13720,12086,3244,21779,29806
39,34159,47805,40576,34155,49867,42835,9627,21219,11823,9336,33384,39473
40,33748,48122,39356,37203,47739,43246,15985,40336,9185,20151,25151,14045
41,31480,49081,41054,35811,47850,44190,16767,4022,53346,11102,4123,35518
42,31937,46432,41088,37531,48253,44199,7882,68182,4608,16367,19037,8800
43,31524,45987,44063,34720,47400,45764,28284,55827,16850,5412,7294,11227
44,32356,44929,41288,37804,47487,45602,5065,13912,44520,16111,8088,37174
45,32630,45742,41409,36272,48122,45290,24044,28179,25343,35254,9524,2528
46,30625,45952,42154,35357,49395,45972,6674,19858,32662,4110,9542,52028
47,30709,46141,42987,35879,49020,44750,25323,52075,20926,7237,7074,12245
48,31297,44912,42418,34471,50918,45439,13293,4241,20511,4149,30999,51683
49,32530,44898,41851,37181,49622,43401,6485,40080,20822,28625,12421,16437
50,31753,45507,44034,37144,48366,42692,3513,35005,20758,23383,25216,17002
51,33273,41679,44319,37302,49158,43747,17153,17114,25413,14956,15062,35201
52,31756,45085,43662,35953,49828,43232,11253,58373,22222,15444,8323,9267
53,32989,44941,41844,36483,48789,44433,52576,2577,5251,2775,33359,28335
54,34068,46001,43178,36627,48639,40968,14449,4077,8557,20249,51283,26272
55,34163,45761,43524,38016,47164,40844,2695,7374,30178,42290,25385,16973
56,34378,45449,43987,37733,47872,40065,21362,8376,36284,33703,15373,9784
57,33914,43619,40743,39012,47347,44887,34280,15121,23923,9207,15161,27201
58,32141,45002,43010,36925,47028,45391,5639,13945,5523,41367,47428,10989
59,32931,44968,42294,36685,48276,44325,40873,19278,30078,5711,10692,18257
60,33482,44590,42508,37401,47232,44301,4350,34927,28709,35616,13315,7989
61,32253,45475,42191,37597,48798,43187,5940,78031,7593,8469,15185,9684
62,31787,43387,41520,39934,47206,45626,3306,9274,22907,62170,20875,6365
63,30355,45112,42376,38263,46735,46657,36205,10941,14370,18803,19978,24596
64,31516,43604,43382,37211,46885,46921,3237,20493,33230,11344,25072,31519
65,30645,45111,42063,36574,47900,47223,17866,31917,14006,9036,22608,29463
66,31326,43945,43193,39011,46967,45046,3300,14535,34919,3107,22473,46566
67,31449,46373,42496,38597,47370,43196,11054,5210,11606,19985,46142,30902
68,30640,46595,43057,36423,48189,44572,24111,26008,37785,11307,9387,16298
69,31020,44978,41753,37038,49982,44729,10500,4235,27670,45372,25044,12084
70,33774,44526,43891,36308,46915,44100,2071,41774,13654,20438,38180,8798
71,32271,45764,42411,37183,47654,44208,7942,10495,37129,10594,14205,44533
72,31426,43891,44107,37297,47092,45695,17020,17962,12646,12276,36901,28095
73,33642,46896,41286,37037,46099,44597,13955,17200,24785,5146,22571,41239
74,34173,45532,42667,37375,45789,43991,22935,13991,34947,38476,7612,6941
75,34298,45454,42657,36809,46937,43314,34084,12235,16510,21206,22372,18487
76,34148,44631,41213,36778,46542,46191,4316,7164,18508,20972,37639,36309
77,33838,46006,41499,37263,46553,44357,4305,17135,44200,3738,7055,48455
78,33414,46366,40174,37611,47322,44620,12053,5344,19296,33890,41792,12517
79,33270,43358,40927,38897,47815,45243,4195,39456,31418,33032,10303,6505
80,31885,45937,39512,39247,47697,45229,23036,3205,4172,11170,48944,34384
